nickname,lvl,current_hp,max_hp,nature__name,hp_iv,attack_iv,special_attack_iv,speed_iv,defense_iv,special_defense_iv,pokedexId,order,baseStats,isShiny,avgIV,sellPrice,caughtAt,move1,move2,move3,move4
Jigglypuff,1,13,13,Bashful,23,27,4,2,18,22,39,39,270,FALSE,16,35,2022-12-02 15:03:10,Dazzling Gleam,Whirlwind,Psycho Cut,Hyper Fang
Jigglypuff,8,38,38,Hardy,24,3,21,27,21,15,39,39,270,FALSE,19,116,2023-06-01 16:10:43,Vice Grip,Octazooka,Rapid Spin,Baby-Doll Eyes
Jigglypuff,16,62,66,Bashful,21,10,22,21,17,22,39,39,270,FALSE,19,167,2022-11-11 04:46:19,Defense Curl,Trick Room,Charm,Sharpen
Wigglytuff,5,29,29,Careful,8,26,30,12,2,29,40,40,435,FALSE,18,204,2023-03-20 18:51:35,Freezing Glare,Disarming Voice,Noble Roar,Covet
Zubat,14,39,39,Relaxed,29,18,9,19,2,2,41,41,245,FALSE,13,99,2024-06-05 20:46:09,Wing Attack,Sludge Bomb,Rapid Spin,Needle Arm
Zubat,14,36,36,Naive,9,20,6,24,13,26,41,41,245,FALSE,16,123,2023-10-19 15:54:58,Circle Throw,Rapid Spin,Aerial Ace,Poison Fang
Zubat,5,19,19,Bashful,19,2,30,31,21,10,41,41,245,FALSE,19,85,2023-05-10 16:54:12,Wing Attack,Vine Whip,Poison Sting,Crush Grip
Zubat,19,46,46,Hasty,13,31,26,12,29,23,41,41,245,FALSE,22,196,2024-06-04 08:15:51,Work Up,Magical Leaf,Poison Fang,Wing Attack
Golbat,2,15,15,Modest,8,28,21,9,3,21,42,42,455,FALSE,15,79,2024-06-05 03:16:04,Reversal,Pluck,Rock Climb,Toxic Thread
Golbat,3,18,18,Timid,31,21,14,8,21,6,42,42,455,FALSE,17,109,2023-08-27 23:52:20,Toxic Thread,Aerial Ace,Dragon Pulse,Strength
Golbat,5,22,22,Hardy,9,29,22,8,30,19,42,42,455,FALSE,20,163,2022-01-19 18:23:59,Toxic Thread,Dual Chop,Gust,Barrage
Oddish,1,12,12,Quirky,28,22,1,3,20,11,43,43,320,FALSE,14,37,2023-03-12 06:05:34,Roar,Sludge,Leaf Tornado,Overdrive
Oddish,3,16,16,Lonely,20,31,16,24,1,1,43,43,320,FALSE,16,70,2023-04-15 05:52:55,Mega Drain,Sludge,Infestation,Refresh
Gloom,12,37,37,Adamant,5,11,7,4,17,2,44,44,395,FALSE,8,123,2023-03-26 21:07:24,Snap Trap,Toxic Thread,Infestation,Mega Kick
Gloom,4,20,20,Relaxed,31,8,14,25,20,20,44,44,395,FALSE,20,183,2022-11-14 21:31:37,Wrap,Sludge,Rock Tomb,Grass Whistle
Vileplume,12,40,40,Naive,3,11,17,28,21,30,45,45,490,FALSE,18,476,2023-10-18 02:55:30,Body Slam,Mega Drain,Sludge,Poison Jab
Paras,10,27,27,Careful,6,17,18,0,5,0,46,46,285,FALSE,8,57,2024-03-12 01:57:38,Hyper Fang,Mud-Slap,Leaf Tornado,Infestation
Paras,11,29,29,Mild,4,7,9,15,21,22,46,46,285,FALSE,13,101,2022-03-14 20:51:21,Crunch,Needle Arm,Weather Ball,Fell Stinger
Paras,2,13,13,Modest,10,2,29,13,31,12,46,46,285,FALSE,16,53,2023-03-24 03:06:22,Signal Beam,Mega Drain,Barrage,Ancient Power
Parasect,15,41,46,Lax,23,27,27,28,23,18,47,47,405,FALSE,24,449,2022-12-18 06:32:40,Infestation,Rock Slide,Howl,Leaf Tornado
Venonat,10,32,32,Lax,4,10,0,2,8,20,48,48,305,FALSE,7,58,2024-02-13 21:27:04,Cross Poison,Whirlwind,Pursuit,X-Scissor
Venonat,6,23,23,Hasty,10,2,2,19,28,1,48,48,305,FALSE,10,63,2024-02-13 21:27:04,Infestation,Relic Song,Cross Poison,Signal Beam
Venonat,11,34,34,Impish,4,0,25,16,28,18,48,48,305,FALSE,15,126,2023-10-19 09:25:23,Strength,Bug Buzz,Thunder Fang,Acid Spray
Venonat,13,42,42,Adamant,28,25,4,8,30,28,48,48,305,FALSE,21,185,2023-03-07 18:50:25,Sludge,Mud-Slap,Crush Claw,Bug Bite
Venomoth,4,20,20,Naughty,20,2,25,17,4,11,49,49,450,FALSE,13,139,2023-08-22 15:51:31,Acid Armor,Signal Beam,Acid Spray,Relic Song
Venomoth,4,20,20,Bashful,27,10,27,18,2,3,49,49,450,FALSE,15,153,2022-06-27 15:38:08,Needle Arm,Pay Day,Toxic Thread,Bug Bite
Diglett,11,23,23,Gentle,3,28,17,23,4,3,50,50,265,FALSE,13,94,2022-02-06 06:45:08,Bonemerang,Slack Off,Dark Pulse,High Horsepower
Dugtrio,3,15,15,Relaxed,6,14,20,24,4,5,51,51,425,FALSE,12,105,2024-03-12 19:12:40,Snarl,Swagger,Earth Power,Mud Bomb
Dugtrio,3,15,15,Lax,10,15,21,4,21,6,51,51,425,FALSE,13,111,2023-12-27 02:11:42,Scorching Sands,Topsy-Turvy,Refresh,Magnitude
Dugtrio,11,30,30,Gentle,18,26,7,10,15,16,51,51,425,FALSE,15,254,2023-03-01 18:50:17,Earth Power,Mega Drain,Growth,Sand Tomb
Meowth,13,35,35,Hardy,15,5,4,20,26,7,52,52,290,FALSE,13,110,2024-02-05 19:57:18,Comet Punch,Whirlwind,Counter,Nasty Plot
Meowth,4,17,17,Jolly,14,25,28,6,15,10,52,52,290,FALSE,16,78,2023-08-14 21:51:49,Double Kick,Quick Attack,Pain Split,Psycho Cut
Meowth,12,33,33,Timid,18,31,7,22,14,10,52,52,290,FALSE,17,140,2023-01-05 00:48:24,Psybeam,Smokescreen,Pain Split,Crush Grip
Meowth,8,26,26,Careful,20,26,8,26,13,12,52,52,290,FALSE,18,110,2023-06-14 13:37:05,Work Up,Dynamic Punch,Spike Cannon,Bite
Persian,15,47,47,Adamant,20,17,2,19,21,10,53,53,440,FALSE,15,297,2023-01-04 02:17:44,Body Press,Covet,Pain Split,Defense Curl
Persian,15,48,48,Naughty,24,6,6,13,24,18,53,53,440,FALSE,15,304,2024-02-19 21:53:56,Heart Stamp,Stored Power,Crush Grip,Flash
Psyduck,4,18,18,Timid,3,18,20,25,12,31,54,54,320,FALSE,18,95,2023-05-08 15:54:30,Octazooka,Zen Headbutt,Aqua Jet,Heart Stamp
Psyduck,12,37,37,Naive,31,27,21,14,26,3,54,54,320,FALSE,20,185,2023-02-13 20:19:39,Water Gun,Swift,Octazooka,Metal Claw
Psyduck,9,29,29,Serious,18,30,19,17,25,19,54,54,320,FALSE,21,168,2024-06-06 09:01:05,Water Gun,Brine,Bullet Punch,Magnet Bomb
Golduck,9,35,35,Quirky,20,6,9,24,29,12,55,55,500,FALSE,17,294,2023-05-17 13:24:35,Brine,Horn Attack,Steel Wing,Muddy Water
Golduck,8,32,32,Hasty,23,28,1,28,18,22,55,55,500,FALSE,20,333,2022-06-02 16:53:36,Aqua Jet,Mega Kick,Bubble,Icy Wind
Golduck,6,26,26,Gentle,23,20,14,30,16,23,55,55,500,FALSE,21,303,2023-11-06 20:10:03,Psybeam,Psywave,Octazooka,Aqua Jet
Mankey,4,17,17,Impish,11,17,0,16,30,10,56,56,305,FALSE,14,70,2024-02-06 01:42:01,Mist,Revenge,Circle Throw,Noble Roar
Mankey,23,56,56,Brave,22,4,7,30,14,8,56,56,305,FALSE,14,170,2024-06-05 02:01:28,Revenge,Ice Ball,Covet,Vacuum Wave
Mankey,5,19,19,Gentle,17,16,23,16,21,1,56,56,305,FALSE,16,88,2023-06-23 16:07:36,Thunder Fang,Vacuum Wave,Vital Throw,Thunder Punch
Mankey,4,17,17,Mild,17,29,26,11,31,23,56,56,305,FALSE,23,114,2023-06-22 16:37:23,Submission,Hyper Fang,Low Sweep,Electroweb
Primeape,4,20,20,Lax,25,16,7,0,5,8,57,57,455,FALSE,10,109,2023-07-14 22:33:03,Flame Charge,Vacuum Wave,Wake-Up Slap,Tail Whip
Primeape,2,15,15,Adamant,26,27,5,10,9,9,57,57,455,FALSE,14,108,2023-07-04 04:17:20,Icicle Crash,Bulk Up,Dynamic Punch,Bind
Primeape,4,20,20,Quirky,25,19,14,14,10,14,57,57,455,FALSE,16,171,2022-12-08 20:17:40,Vacuum Wave,Heat Wave,Spark,Mach Punch
Growlithe,8,27,27,Careful,11,4,7,23,14,2,58,58,350,FALSE,10,83,2023-08-12 21:05:18,Flame Charge,Incinerate,Smelling Salts,Wake-Up Slap
Growlithe,5,21,21,Lonely,12,15,18,6,11,15,58,58,350,FALSE,13,82,2023-08-18 18:51:46,Dragon Rage,Sunny Day,Will-O-Wisp,Dragon Pulse
Growlithe,9,30,30,Docile,18,17,11,31,4,4,58,58,350,FALSE,14,122,2023-08-16 02:20:48,Heat Crash,Will-O-Wisp,Dragon Breath,Tearful Look
Growlithe,11,36,36,Gentle,27,30,7,4,3,17,58,58,350,FALSE,15,140,2024-02-12 23:42:04,Dragon Breath,Revenge,Fire Fang,Incinerate
Growlithe,4,18,18,Bold,3,17,1,30,29,22,58,58,350,FALSE,17,98,2022-04-04 16:13:46,Detect,Flame Wheel,Will-O-Wisp,Quick Attack
Growlithe,12,37,37,Jolly,18,31,25,25,22,6,58,58,350,FALSE,21,211,2023-08-08 13:35:28,Rolling Kick,Power-Up Punch,Incinerate,Flame Charge
Growlithe,15,45,45,Adamant,25,22,30,28,23,30,58,58,350,FALSE,26,294,2023-06-12 00:51:41,Dragon Pulse,Flame Wheel,Tickle,Heat Crash
Arcanine,16,55,55,Rash,4,26,23,4,7,28,59,59,555,FALSE,15,521,2024-04-22 23:51:42,Sunny Day,Vacuum Wave,Fire Punch,Vital Throw
Arcanine,28,88,88,Rash,0,24,17,25,30,14,59,59,555,FALSE,18,824,2023-05-04 23:39:01,Revenge,Scary Face,Flamethrower,Ember
Arcanine,9,36,36,Quiet,18,27,17,28,27,8,59,59,555,FALSE,21,531,2024-02-19 22:53:56,Reversal,Will-O-Wisp,Wake-Up Slap,Incinerate
Poliwag,13,36,36,Quirky,23,23,12,14,6,13,60,60,300,FALSE,15,135,2023-02-25 01:05:06,Ice Punch,Strength,Octazooka,Water Pulse
Poliwag,2,13,13,Careful,8,9,9,30,16,31,60,60,300,FALSE,17,60,2023-11-07 23:26:05,Octazooka,Extrasensory,Water Pulse,Magnet Bomb
Poliwrath,14,51,51,Impish,19,31,4,22,26,4,62,62,510,FALSE,18,516,2022-09-09 03:12:33,Tail Slap,Bubble,Vital Throw,Triple Axel
Poliwrath,2,16,16,Lax,29,30,17,5,18,26,62,62,510,FALSE,21,230,2023-10-20 16:28:59,Fire Punch,Clamp,Tri Attack,Vital Throw
Abra,2,13,13,Modest,28,28,30,22,2,22,63,63,310,FALSE,22,79,2023-02-21 20:49:33,Hypnosis,Guard Swap,Shadow Bone,Spirit Break
Kadabra,7,23,23,Bashful,10,12,11,2,7,29,64,64,400,FALSE,12,147,2023-01-21 03:48:40,Aqua Jet,Heal Block,Fury Swipes,Light Screen
Kadabra,10,28,28,Serious,1,29,12,18,7,5,64,64,400,FALSE,12,178,2023-07-25 13:49:06,Shadow Ball,Extrasensory,Play Rough,Freezing Glare
Kadabra,14,38,38,Rash,27,2,9,11,30,8,64,64,400,FALSE,15,255,2024-02-04 17:57:06,Zen Headbutt,Heal Block,Howl,Shadow Punch
Kadabra,8,26,26,Bold,21,9,19,13,12,17,64,64,400,FALSE,15,202,2024-02-04 16:41:58,Confusion,Shadow Sneak,Hex,Heart Stamp
Alakazam,15,45,45,Calm,27,27,18,19,0,15,65,65,500,FALSE,18,524,2024-01-08 22:11:39,Heart Stamp,Water Gun,Hypnosis,Shadow Claw
Machop,2,15,15,Mild,12,8,28,5,16,13,66,66,305,FALSE,14,48,2022-10-12 18:28:41,Submission,Spike Cannon,Revenge,Ice Shard
Machoke,24,72,72,Naive,2,6,16,26,8,15,67,67,405,FALSE,12,284,2024-03-27 02:34:08,Quick Attack,Triple Kick,Incinerate,Secret Sword
Machoke,5,23,23,Hardy,17,27,13,23,26,4,67,67,405,FALSE,18,195,2023-02-21 19:20:15,Low Kick,Fury Swipes,Spark,Arm Thrust
Machamp,17,62,62,Naughty,31,27,27,9,10,31,68,68,505,FALSE,23,717,2022-10-27 18:00:24,Shock Wave,Arm Thrust,Revenge,Psych Up
Bellsprout,3,16,16,Timid,6,7,21,25,12,18,69,69,300,FALSE,15,63,2023-01-08 23:18:08,Leaf Tornado,Poison Tail,Thunder Wave,Growl
Weepinbell,1,12,12,Naughty,29,18,30,13,0,26,70,70,390,FALSE,19,88,2022-04-22 16:38:19,Attack Order,Fury Attack,Poison Fang,Magical Leaf
Weepinbell,24,65,65,Gentle,3,31,30,24,24,24,70,70,390,FALSE,23,510,2024-04-10 01:05:12,Wrap,Poison Fang,Silver Wind,Wood Hammer
Victreebel,2,15,15,Docile,27,0,2,29,4,4,71,71,490,FALSE,11,116,2023-03-27 18:36:44,Poison Gas,Psych Up,Clear Smog,Snap Trap
Tentacool,12,34,34,Relaxed,20,8,17,6,8,12,72,72,335,FALSE,12,113,2023-10-17 15:10:26,Sludge,Brine,Wild Charge,Confide
Tentacool,12,34,34,Rash,20,19,18,1,20,20,72,72,335,FALSE,16,156,2023-07-31 15:19:36,Life Dew,Work Up,Acid Spray,Icy Wind
Tentacool,10,30,30,Bold,24,10,24,27,24,7,72,72,335,FALSE,19,168,2024-02-09 23:26:59,Origin Pulse,Work Up,Quiver Dance,Poison Fang
Tentacruel,7,28,28,Adamant,3,16,29,4,9,11,73,73,515,FALSE,12,192,2023-01-06 19:47:49,Toxic Thread,Bubble,Haze,Growth
Tentacruel,14,42,47,Bashful,10,11,21,1,20,17,73,73,515,FALSE,13,291,2022-11-14 18:31:10,Liquidation,Sludge,Horn Drill,Ice Punch
Geodude,10,28,28,Bold,8,1,24,10,22,19,74,74,300,FALSE,14,109,2023-09-23 00:23:47,Drill Run,Incinerate,Tri Attack,Accelerock
Geodude,12,35,35,Serious,31,3,26,4,28,10,74,74,300,FALSE,17,145,2024-02-01 22:56:56,Rock Tomb,Bone Rush,Fissure,Strength
Geodude,3,16,16,Impish,27,13,10,25,12,28,74,74,300,FALSE,19,82,2022-10-15 01:43:56,Horn Attack,Fire Spin,Magnitude,Rock Tomb
Graveler,12,35,37,Impish,18,28,27,24,3,14,75,75,390,FALSE,19,289,2023-07-05 14:47:13,Spike Cannon,Crunch,Ancient Power,Mud Shot
Graveler,8,28,28,Docile,23,2,16,21,22,30,75,75,390,FALSE,19,247,2023-03-28 17:52:20,Fissure,Feint Attack,Baton Pass,Rock Polish
Golem,5,23,23,Gentle,5,11,29,15,12,12,76,76,495,FALSE,14,237,2022-11-18 16:31:36,Sing,Thief,Stone Edge,Bulldoze
Ponyta,26,67,67,Rash,20,18,8,4,30,1,77,77,410,FALSE,14,232,2024-06-03 22:45:54,Fire Spin,Mach Punch,Will-O-Wisp,Secret Sword
